fecha,orig,sa
2017-05-01,6188.84,6212.852
2017-06-01,6193.17,6227.422
2017-07-01,6202.014,6235.603
2017-09-01,6221.484,6245.853
2017-11-01,6282.184,6269.562
2018-01-01,6309.334,6275.099
2018-02-01,6308.065,6270.743
2018-03-01,6322.588,6279.021
2018-04-01,6279.701,6281.698
2018-05-01,6251.076,6275.318
2018-06-01,6216.704,6254.317
2018-07-01,6215.106,6244.061
2018-08-01,6212.924,6234.865
2018-09-01,6181.243,6210.029
2018-10-01,6194.592,6195.475
2018-11-01,6182.767,6169.49
2018-12-01,6167.38,6152.186
2019-01-01,6179.231,6146.08
2019-02-01,6187.63,6150.278
2019-03-01,6177.311,6133.495
2019-04-01,6126.454,6126.675
2019-05-01,6097.027,6120.031
2019-06-01,6070.263,6112.418
2019-07-01,6079.692,6105.688
2019-08-01,6071.154,6095.046
2019-09-01,6041.85,6066.08
2019-10-01,6039.439,6042.834
2019-11-01,6033.144,6023.745
2019-12-01,6020.703,6001.713
2020-01-01,6021.939,5988.29
2020-02-01,6028.392,5990.845
2020-03-01,5994.42,5947.359
2020-04-01,5836.865,5839.946
2020-05-01,5787.439,5814.77
2020-06-01,5776.556,5808.814
2020-07-01,5768.547,5794.012
2020-08-01,5770.021,5796.275
2020-09-01,5780.89,5800.882
2020-10-01,5795.055,5802.104
2020-11-01,5816.818,5808.453
2020-12-01,5826.014,5806.222
2021-01-01,5850.593,5824.89
2021-02-01,5872.011,5837.488
2021-03-01,5907.382,5861.283
2021-04-01,5895.112,5895.414
2021-05-01,5869.969,5896.622
2021-06-01,5869.182,5901.385
2021-07-01,5876.034,5902.587
2021-08-01,5895.277,5916.297
2021-09-01,5916.087,5936.383
2021-10-01,5940.33,5950.896
2021-11-01,5988.541,5974.778
2021-12-01,6027.687,6006.959
2022-01-01,6069.317,6041.926
2022-02-01,6095.135,6060.514
2022-03-01,6129.715,6085.663
2022-04-01,6110.171,6115.829
2022-05-01,6117.962,6141.015
2022-06-01,6134.032,6168.442
2022-07-01,6169.348,6199.5
2022-08-01,6186.755,6205.998
2022-09-01,6210.839,6229.65
2022-10-01,6236.623,6248.08
2022-11-01,6278.154,6264.686
2022-12-01,6296.204,6275.731
2023-01-01,6333.404,6298.772
2023-02-01,6348.193,6313.257
2023-03-01,6377.525,6335.924
2023-04-01,6339.738,6351.372
2023-05-01,6347.788,6368.81
2023-06-01,6353.117,6386.264
2023-07-01,6374.49,6405.036
2023-08-01,6387.707,6408.026
2023-09-01,6371.65,6393.183
2023-10-01,6374.399,6380.586
2023-11-01,6385.764,6372.403
2023-12-01,6379.12,6360.571
2024-01-01,6363.884,6326.576
2024-02-01,6337.933,6301.017
2024-03-01,6306.558,6276.039
2024-04-01,6257.457,6258.862
2024-05-01,6227.984,6249.676
2024-06-01,6199.484,6239.657
2024-07-01,6210.704,6233.402
2024-08-01,6215.334,6237.157
2024-09-01,6224.246,6246.192
2024-10-01,6249.844,6253.504
2024-11-01,6267.843,6254.65
2024-12-01,6285.719,6262.743
2025-01-01,6290.114,6254.446
2025-02-01,6298.957,6265.756
2025-03-01,6285.043,6254.27
2025-04-01,6258.727,6264.877
2025-05-01,6244.075,6268.14
2025-06-01,6216.843,6252.966
2025-07-01,6216.831,6240.562
2025-08-01,6204.628,6229.106
2025-09-01,6198.644,6215.634
2025-10-01,6196.539,6199.352
2025-11-01,6191.544,6182.428
2025-12-01,6194.813,6168.896
2026-01-01,6193.562,6161.023
2026-02-01,6189.681,6156.811
2026-03-01,6181.738,6148.657
2026-04-01,6130.146,6136.984
